country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,1520,1710,1700,1920,2020,2070,2110,2000,2090,2100,2190
Albania,2550,1880,1740,2110,2300,2710,3050,2780,3110,3550,3980,4460,4800,5150,5560,5990,6750,7480,8260,8680,9540,10200,10500,10800,11400,11800,12200,13100,13800,14300
Algeria,6660,6510,6690,6630,6530,6710,6980,7120,7490,7690,8030,8500,8930,9620,10100,10800,11300,12100,12600,12600,13100,13400,13100,12800,12700,11700,11500,11600,11600,11700
Angola,2990,3310,1630,1490,1260,2350,2420,2830,2820,2640,2790,2910,3380,3470,3780,4310,4730,5350,5580,5840,5950,6130,6810,7130,7680,6960,6730,6860,6550,6380
Antigua and Barbuda,10500,11300,11600,12400,13200,12600,13500,14300,14900,15300,15900,15700,15500,16700,17800,19400,22300,24600,24500,21500,20100,19700,19000,18200,18100,17700,18600,18800,20600,21800
Argentina,6880,7760,8560,9410,10000,9790,10400,11300,11700,11300,11300,10900,9540,10600,10900,12000,14500,16100,17000,15800,17400,18800,19200,19700,19300,19700,19900,23000,22500,22100
Armenia,2670,2550,1290,1480,1630,1870,2050,2240,2390,2510,2740,3090,3580,4180,4810,5680,6720,7960,8790,7530,7880,8310,9740,10400,10500,10400,11000,12500,13300,14500
Australia,16700,17100,17500,18600,19600,20200,21200,22200,23400,24500,25600,26600,27900,28900,30400,31400,33000,34900,35900,38900,37800,40300,41500,44800,45700,45300,46200,47500,49400,51800
Austria,19500,20600,21300,21800,22600,23600,24500,25300,26500,27200,29100,29300,31000,32000,33700,34900,37700,39400,41700,40900,42400,44600,46500,48100,48900,49400,52700,54000,56300,59200
Azerbaijan,,,,3280,2650,2350,2400,2560,2820,3030,3220,3590,3970,4430,4820,6000,8190,10100,11800,13100,14000,13700,15000,16200,16900,14400,13400,13500,13800,14400
Bahamas,19000,18400,18100,18100,18700,21800,24000,22100,23100,26300,27600,28300,29100,28900,29400,30700,31700,32400,32200,30300,30500,30900,31900,31800,31900,32300,32900,35300,35900,37400
Bahrain,28300,31300,32200,34700,34300,36700,38100,37600,39100,39200,41100,40600,39600,41000,42300,44200,45200,46900,46100,41600,42600,41200,49000,49600,48600,43000,42300,45000,44700,44300
Bangladesh,870,910,960,1010,1050,1100,1150,1200,1250,1300,1370,1450,1510,1590,1690,1830,2010,2200,2380,2490,2640,2830,3190,3400,3590,3790,4070,4340,4760,5200
Barbados,9360,9300,8980,9190,9520,9820,10300,11000,11500,11600,12300,12200,12400,12800,13400,14100,15100,16100,16300,15700,15700,15300,14700,14700,14500,14800,15200,15100,15300,15800
Belarus,5230,5340,4930,4650,4170,3840,4040,4580,5040,5330,5780,6220,6690,7370,8490,9630,11000,12200,13800,13800,15100,16200,17700,18300,18400,17200,16900,17600,18700,19400
